id,concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
2,2000010536,Acetaminophen,Drug,MIMIC-IV,Prescription Drug,NA,ACETAMINOPHEN (RECTAL),1970-01-01,2099-12-31,NA
4,2000011355,0.9% Sodium Chloride 100 mL Bag,Drug,MIMIC-IV,Prescription Drug,NA,0.9% Sodium Chloride 100 mL Bag,1970-01-01,2099-12-31,NA
5,2000010313,Vancomycin,Drug,MIMIC-IV,Prescription Drug,NA,Vancomycin ophthalmic 50mg/ml bottle,1970-01-01,2099-12-31,NA
7,2000011121,Water,Drug,MIMIC-IV,Prescription Drug,NA,Water Water,1970-01-01,2099-12-31,NA
9,2000010479,Labetalol,Drug,MIMIC-IV,Prescription Drug,NA,Labetalol,1970-01-01,2099-12-31,NA
11,2000011144,Midazolam,Drug,MIMIC-IV,Prescription Drug,NA,Midazolam,1970-01-01,2099-12-31,NA
12,2000010369,Metoprolol,Drug,MIMIC-IV,Prescription Drug,NA,Metoprolol Tartrate,1970-01-01,2099-12-31,NA
24,2000010185,pantoprazole,Drug,MIMIC-IV,Prescription Drug,NA,Pantoprazole Dummy Pkg for POE pump and PHA SS ordering,1970-01-01,2099-12-31,NA
27,2000010382,heparin,Drug,MIMIC-IV,Prescription Drug,NA,Heparin,1970-01-01,2099-12-31,NA
28,2000010598,Fentanyl,Drug,MIMIC-IV,Prescription Drug,NA,FENTANYL,1970-01-01,2099-12-31,NA
32,2000010614,Furosemide,Drug,MIMIC-IV,Prescription Drug,NA,Furosemide,1970-01-01,2099-12-31,NA
45,2000010645,Cefazolin,Drug,MIMIC-IV,Prescription Drug,NA,Cefazolin 10g Bulk vial,1970-01-01,2099-12-31,NA
49,2000010556,glycopyrronium,Drug,MIMIC-IV,Prescription Drug,NA,Glycopyrrolate,1970-01-01,2099-12-31,NA
56,2000010124,brimonidine,Drug,MIMIC-IV,Prescription Drug,NA,Brimonidine 0.2% solution,1970-01-01,2099-12-31,NA
67,2000010225,Dobutamine,Drug,MIMIC-IV,Prescription Drug,NA,Dobutamine 250MG PREMIX,1970-01-01,2099-12-31,NA
68,2000011254,Midazolam,Drug,MIMIC-IV,Prescription Drug,NA,Midazolam HCl,1970-01-01,2099-12-31,NA
69,2000010610,Folic Acid,Drug,MIMIC-IV,Prescription Drug,NA,Folic Acid 1MG/0.2ML SYR,1970-01-01,2099-12-31,NA
70,2000010721,Propofol,Drug,MIMIC-IV,Prescription Drug,NA,PROPOFOL,1970-01-01,2099-12-31,NA
72,2000011383,Magnesium Sulfate 100 mL Bag,Drug,MIMIC-IV,Prescription Drug,NA,Magnesium Sulfate 100 mL Bag,1970-01-01,2099-12-31,NA
77,2000010634,Baclofen 10 MG Oral Tablet,Drug,MIMIC-IV,Prescription Drug,NA,Baclofen 10mg tablet,1970-01-01,2099-12-31,NA
86,2000011326,Lidocaine,Drug,MIMIC-IV,Prescription Drug,NA,Lidocaine 1%,1970-01-01,2099-12-31,NA
93,2000010722,polydextrose,Drug,MIMIC-IV,Prescription Drug,NA,Dextrose 5% 150ml Bag,1970-01-01,2099-12-31,NA
97,2000010756,Sodium,Drug,MIMIC-IV,Prescription Drug,NA,Sodium CITRATE 4% 3mL Syringe,1970-01-01,2099-12-31,NA
104,2000010139,Glycerin,Drug,MIMIC-IV,Prescription Drug,NA,Glycerin (Laxative) gm/ml,1970-01-01,2099-12-31,NA
112,2000010383,Potassium Chloride,Drug,MIMIC-IV,Prescription Drug,NA,POTASSIUM CHLORIDE,1970-01-01,2099-12-31,NA
135,2000011142,Vancomycin,Drug,MIMIC-IV,Prescription Drug,NA,Vancomycin fortified opthalmic 50mg/ml,1970-01-01,2099-12-31,NA
142,2000010909,sitagliptin 100 MG Oral Tablet [Januvia],Drug,MIMIC-IV,Prescription Drug,NA,JANUVIA 100 mg Tab,1970-01-01,2099-12-31,NA
145,2000010851,Calcium Gluconate,Drug,MIMIC-IV,Prescription Drug,NA,Calcium Gluconate,1970-01-01,2099-12-31,NA
160,2000011367,D5W 250mL Bottle,Drug,MIMIC-IV,Prescription Drug,NA,D5W 250mL Bottle,1970-01-01,2099-12-31,NA
171,2000010029,Diphenhydramine,Drug,MIMIC-IV,Prescription Drug,NA,DiphenhydrAMINE,1970-01-01,2099-12-31,NA
174,2000011396,Sodium Chloride 0.9%  Flush 10 mL Syringe,Drug,MIMIC-IV,Prescription Drug,NA,Sodium Chloride 0.9%  Flush 10 mL Syringe,1970-01-01,2099-12-31,NA
179,2000011260,Bupivacaine,Drug,MIMIC-IV,Prescription Drug,NA,Bupivacaine 0.1% 250 mL CADD Med Cassette,1970-01-01,2099-12-31,NA
186,2000010711,sitagliptin 100 MG Oral Tablet [Januvia],Drug,MIMIC-IV,Prescription Drug,NA,Januvia 100 mg Tab,1970-01-01,2099-12-31,NA
187,2000010840,Epinephrine,Drug,MIMIC-IV,Prescription Drug,NA,Epinephrine Kit,1970-01-01,2099-12-31,NA
204,2000010349,Folic Acid,Drug,MIMIC-IV,Prescription Drug,NA,Folic Acid 5mg/ml-10ml,1970-01-01,2099-12-31,NA
208,2000010684,Nitroglycerin,Drug,MIMIC-IV,Prescription Drug,NA,Nitroglycerin,1970-01-01,2099-12-31,NA
209,2000011370,Fentanyl Citrate 50 mL Vial,Drug,MIMIC-IV,Prescription Drug,NA,Fentanyl Citrate 50 mL Vial,1970-01-01,2099-12-31,NA
210,2000010109,Sodium Bicarbonate,Drug,MIMIC-IV,Prescription Drug,NA,Sodium Bicarbonate,1970-01-01,2099-12-31,NA
212,2000011334,Vancomycin,Drug,MIMIC-IV,Prescription Drug,NA,Vancomycin ophthalmic solution 50mg/ml,1970-01-01,2099-12-31,NA
221,2000010767,Tacrolimus 0.5 MG Oral Capsule,Drug,MIMIC-IV,Prescription Drug,NA,tacrolimus 0.5 mg capsules,1970-01-01,2099-12-31,NA
222,2000010074,Furosemide,Drug,MIMIC-IV,Prescription Drug,NA,FUROSEMIDE,1970-01-01,2099-12-31,NA
225,2000010627,Acetaminophen,Drug,MIMIC-IV,Prescription Drug,NA,ACETAMINOPHEN,1970-01-01,2099-12-31,NA
227,2000010775,esmolol,Drug,MIMIC-IV,Prescription Drug,NA,Esmolol,1970-01-01,2099-12-31,NA
232,2000011371,Filgrastim Send Vial,Drug,MIMIC-IV,Prescription Drug,NA,Filgrastim Send Vial,1970-01-01,2099-12-31,NA
249,2000011384,Magnesium Sulfate 50 mL Bag,Drug,MIMIC-IV,Prescription Drug,NA,Magnesium Sulfate 50 mL Bag,1970-01-01,2099-12-31,NA
251,2000010319,Potassium Chloride,Drug,MIMIC-IV,Prescription Drug,NA,Potassium Chloride,1970-01-01,2099-12-31,NA
253,2000010572,Hydromorphone,Drug,MIMIC-IV,Prescription Drug,NA,HYDROmorphone PCA (Dilaudid),1970-01-01,2099-12-31,NA
259,2000010745,Oxycodone,Drug,MIMIC-IV,Prescription Drug,NA,OxycoDONE (Immediate Release),1970-01-01,2099-12-31,NA
