id,drug_concept_id,ingredient_concept_id,amount_value,amount_unit_concept_id,numerator_value,numerator_unit_concept_id,denominator_value,denominator_unit_concept_id,box_size,valid_start_date,valid_end_date,invalid_reason
321,40225159,925636,NA,NA,0.5,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
875,40227012,989878,NA,NA,10,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
877,40227019,989878,NA,NA,10,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
978,40227049,989878,NA,NA,20,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
1003,40227057,989878,NA,NA,20,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
1051,40227117,989878,NA,NA,5,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
1152,40226999,989878,NA,NA,0.05,8576,NA,8576,NA,1970-01-01,2099-12-31,NA
1245,40226969,989878,NA,NA,0.02,8576,NA,8576,NA,1970-01-01,2099-12-31,NA
1989,40228087,903963,NA,NA,1,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
2137,40228214,1149196,10,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
2826,40228158,40228152,150,8576,NA,NA,NA,NA,NA,2010-10-31,2099-12-31,NA
3461,40231639,938268,NA,NA,1.76,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
4990,40231144,923672,0.125,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
5634,19005965,1000560,4,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
5719,40232228,1154332,30,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
5769,40231925,1125315,325,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
5770,40231925,1124957,5,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
5903,40231805,1124957,10,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
5950,40231811,1124957,20,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
5964,40231944,1125315,NA,NA,65,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
5965,40231944,1124957,NA,NA,1,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
5967,40231815,1124957,40,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
5984,40232700,1124957,NA,NA,1,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
5986,40232701,1124957,NA,NA,1,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
5987,40232717,1124957,15,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
5996,40232756,1124957,5,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
6006,40232454,1129625,NA,NA,50,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
6123,40232435,1129625,NA,NA,2.5,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
6126,40232444,1129625,25,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
6521,40234365,967861,NA,NA,58.2,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
6798,40234727,903963,NA,NA,1,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
6799,40234727,922570,NA,NA,100000,8510,NA,8587,NA,1970-01-01,2099-12-31,NA
6849,19006967,975125,100,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
7268,19008723,951511,NA,NA,0.02,8576,NA,8576,NA,1970-01-01,2099-12-31,NA
7387,19009384,46221581,NA,NA,70,8510,NA,8587,NA,1970-01-01,2099-12-31,NA
7388,19009384,1596977,NA,NA,30,8510,NA,8587,NA,1970-01-01,2099-12-31,NA
7571,19010291,950637,5,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
7610,40233964,903963,NA,NA,0.001,8576,NA,8576,NA,1970-01-01,2099-12-31,NA
7616,40233993,903963,NA,NA,0.25,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
8262,19010403,951511,NA,NA,0.02,8576,NA,8576,NA,1970-01-01,2099-12-31,NA
8282,40233393,19137312,1.5,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
8283,40233393,1308738,0.006,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
8284,40233393,19011773,100,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
8285,40233393,19024770,0.15000000000000002,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
8286,40233393,19111620,1,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
8287,40233393,19088079,5,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
8288,40233393,19005046,10,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
8289,40233393,1517824,20,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
8290,40233393,19062817,1.7,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
9307,40236481,705944,5,8576,NA,NA,NA,NA,NA,2006-06-04,2099-12-31,NA
9308,40236482,705944,5,8576,NA,NA,NA,NA,NA,2006-06-04,2099-12-31,NA
9676,40236824,933724,100,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
9948,40237887,957797,3500,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
10261,40238221,941258,100,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
10371,40238238,745466,125,8576,NA,NA,NA,NA,NA,2011-05-01,2099-12-31,NA
