id,concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
1795,8532,FEMALE,Gender,Gender,Gender,S,F,1970-01-01,2099-12-31,NA
1796,8507,MALE,Gender,Gender,Gender,S,M,1970-01-01,2099-12-31,NA
1821,0,No matching concept,Metadata,None,Undefined,NA,No matching concept,1970-01-01,2099-12-31,NA
206221,32817,EHR,Type Concept,Type Concept,Type Concept,S,OMOP4976890,2020-08-20,2099-12-31,NA
206225,32821,EHR billing record,Type Concept,Type Concept,Type Concept,S,OMOP4976894,2020-08-20,2099-12-31,NA
206237,32833,EHR order,Type Concept,Type Concept,Type Concept,S,OMOP4976906,2020-08-20,2099-12-31,NA
206242,32838,EHR prescription,Type Concept,Type Concept,Type Concept,S,OMOP4976911,2020-08-20,2099-12-31,NA
206260,32856,Lab,Type Concept,Type Concept,Type Concept,S,OMOP4976929,2020-08-20,2099-12-31,NA
206675,8554,percent,Unit,UCUM,Unit,S,%,1970-01-01,2099-12-31,NA
206707,9557,milliequivalent per liter,Unit,UCUM,Unit,S,10*-3.eq/L,1970-01-01,2099-12-31,NA
206717,9550,milli-international unit per milliliter,Unit,UCUM,Unit,S,10*-3.[iU]/mL,1970-01-01,2099-12-31,NA
206731,8848,thousand per microliter,Unit,UCUM,Unit,S,10*3/uL,1970-01-01,2099-12-31,NA
206755,9093,micro-international unit per milliliter,Unit,UCUM,Unit,S,10*-6.[iU]/mL,1970-01-01,2099-12-31,NA
206764,8815,million per microliter,Unit,UCUM,Unit,S,10*6/uL,1970-01-01,2099-12-31,NA
206854,9461,bel microvolt,Unit,UCUM,Unit,S,B[uV],1970-01-01,2099-12-31,NA
206877,586323,degree Celsius,Unit,UCUM,Unit,S,Cel,1970-01-01,2099-12-31,NA
206880,8889,cells per high power field,Unit,UCUM,Unit,S,{cells}/[HPF],1970-01-01,2099-12-31,NA
206883,8784,cells per microliter,Unit,UCUM,Unit,S,{cells}/uL,1970-01-01,2099-12-31,NA
206900,8582,centimeter,Unit,UCUM,Unit,S,cm,1970-01-01,2099-12-31,NA
206904,44777590,centimeter watercolumn,Unit,UCUM,Unit,S,cm[H2O],1970-01-01,2099-12-31,NA
206909,8483,counts per minute,Unit,UCUM,Unit,S,{counts}/min,1970-01-01,2099-12-31,NA
206923,9289,degree Fahrenheit,Unit,UCUM,Unit,S,[degF],1970-01-01,2099-12-31,NA
206987,8583,femtoliter,Unit,UCUM,Unit,S,fL,1970-01-01,2099-12-31,NA
207036,8713,gram per deciliter,Unit,UCUM,Unit,S,g/dL,1970-01-01,2099-12-31,NA
207063,9100,IgG phospholipid unit,Unit,UCUM,Unit,S,[GPL'U],1970-01-01,2099-12-31,NA
207084,8505,hour,Unit,UCUM,Unit,S,h,1970-01-01,2099-12-31,NA
207094,8786,per high power field,Unit,UCUM,Unit,S,/[HPF],1970-01-01,2099-12-31,NA
207109,9327,inch (international),Unit,UCUM,Unit,S,[in_i],1970-01-01,2099-12-31,NA
207123,8923,international unit per liter,Unit,UCUM,Unit,S,[iU]/L,1970-01-01,2099-12-31,NA
207125,8985,international unit per milliliter,Unit,UCUM,Unit,S,[iU]/mL,1970-01-01,2099-12-31,NA
207147,9529,kilogram,Unit,UCUM,Unit,S,kg,1970-01-01,2099-12-31,NA
207185,8873,log copies per milliliter,Unit,UCUM,Unit,S,lg({copies})/mL,1970-01-01,2099-12-31,NA
207186,9084,log international unit per milliliter,Unit,UCUM,Unit,S,lg([iU])/mL,1970-01-01,2099-12-31,NA
207201,8698,liter per minute,Unit,UCUM,Unit,S,L/min,1970-01-01,2099-12-31,NA
207202,32710,liter per minute per square meter,Unit,UCUM,Unit,S,L/min/m2,1970-01-01,2099-12-31,NA
207206,8765,per low powered field,Unit,UCUM,Unit,S,/[LPF],1970-01-01,2099-12-31,NA
207262,8576,milligram,Unit,UCUM,Unit,S,mg,1970-01-01,2099-12-31,NA
207265,8909,milligram per 24 hours,Unit,UCUM,Unit,S,mg/(24.h),1970-01-01,2099-12-31,NA
207273,8840,milligram per deciliter,Unit,UCUM,Unit,S,mg/dL,1970-01-01,2099-12-31,NA
207280,8723,milligram per gram,Unit,UCUM,Unit,S,mg/g,1970-01-01,2099-12-31,NA
207289,8751,milligram per liter,Unit,UCUM,Unit,S,mg/L,1970-01-01,2099-12-31,NA
207292,9565,milligram per milligram,Unit,UCUM,Unit,S,mg/mg,1970-01-01,2099-12-31,NA
207315,8541,per minute,Unit,UCUM,Unit,S,/min,1970-01-01,2099-12-31,NA
207316,8550,minute,Unit,UCUM,Unit,S,min,1970-01-01,2099-12-31,NA
207332,8587,milliliter,Unit,UCUM,Unit,S,mL,1970-01-01,2099-12-31,NA
207339,9569,milliliter per heart beat,Unit,UCUM,Unit,S,mL/{hb},1970-01-01,2099-12-31,NA
207346,32739,milliliter per square meter,Unit,UCUM,Unit,S,ml/m2,1970-01-01,2099-12-31,NA
207349,8795,milliliter per minute,Unit,UCUM,Unit,S,mL/min,1970-01-01,2099-12-31,NA
207362,8588,millimeter,Unit,UCUM,Unit,S,mm,1970-01-01,2099-12-31,NA
207366,8752,millimeter per hour,Unit,UCUM,Unit,S,mm/h,1970-01-01,2099-12-31,NA
207367,8876,millimeter mercury column,Unit,UCUM,Unit,S,mm[Hg],1970-01-01,2099-12-31,NA
207379,8753,millimole per liter,Unit,UCUM,Unit,S,mmol/L,1970-01-01,2099-12-31,NA
207404,8862,milliosmole per kilogram,Unit,UCUM,Unit,S,mosm/kg,1970-01-01,2099-12-31,NA
207412,9101,IgM phospholipid unit,Unit,UCUM,Unit,S,[MPL'U],1970-01-01,2099-12-31,NA
207418,9593,millisecond,Unit,UCUM,Unit,S,ms,1970-01-01,2099-12-31,NA
207436,8817,nanogram per deciliter,Unit,UCUM,Unit,S,ng/dL,1970-01-01,2099-12-31,NA
207438,32707,nanogram of fibrinogen equivalent unit per milliliter,Unit,UCUM,Unit,S,ng{FEU}/mL,1970-01-01,2099-12-31,NA
207449,8842,nanogram per milliliter,Unit,UCUM,Unit,S,ng/mL,1970-01-01,2099-12-31,NA
207531,8564,picogram,Unit,UCUM,Unit,S,pg,1970-01-01,2099-12-31,NA
207537,8845,picogram per milliliter,Unit,UCUM,Unit,S,pg/mL,1970-01-01,2099-12-31,NA
207583,8523,ratio,Unit,UCUM,Unit,S,{ratio},1970-01-01,2099-12-31,NA
207606,8555,second,Unit,UCUM,Unit,S,s,1970-01-01,2099-12-31,NA
207667,8510,unit,Unit,UCUM,Unit,S,[U],1970-01-01,2099-12-31,NA
207689,8837,microgram per deciliter,Unit,UCUM,Unit,S,ug/dL,1970-01-01,2099-12-31,NA
207701,9651,unit per gram of hemoglobin,Unit,UCUM,Unit,S,[U]/g{HGB},1970-01-01,2099-12-31,NA
207712,8859,microgram per milliliter,Unit,UCUM,Unit,S,ug/mL,1970-01-01,2099-12-31,NA
207737,8763,unit per milliliter,Unit,UCUM,Unit,S,[U]/mL,1970-01-01,2099-12-31,NA
207753,8749,micromole per liter,Unit,UCUM,Unit,S,umol/L,1970-01-01,2099-12-31,NA
207807,262,Emergency Room and Inpatient Visit,Visit,Visit,Visit,S,ERIP,1970-01-01,2099-12-31,NA
207809,9201,Inpatient Visit,Visit,Visit,Visit,S,IP,1970-01-01,2099-12-31,NA
207814,581476,Home Visit,Visit,Visit,Visit,S,OMOP4822459,1970-01-01,2099-12-31,NA
207815,32037,Intensive Care,Visit,Visit,Visit,S,OMOP4822460,1970-01-01,2099-12-31,NA
208006,3027200,R wave duration in lead I,Measurement,LOINC,Clinical Observation,S,10001-6,1970-01-01,2099-12-31,NA
208024,3028561,R wave duration in lead III,Measurement,LOINC,Clinical Observation,S,10003-2,1970-01-01,2099-12-31,NA
208400,3012698,S wave amplitude in lead I,Measurement,LOINC,Clinical Observation,S,10037-0,1970-01-01,2099-12-31,NA
208428,3008449,S wave amplitude in lead III,Measurement,LOINC,Clinical Observation,S,10039-6,1970-01-01,2099-12-31,NA
208538,3004962,S wave duration in lead I,Measurement,LOINC,Clinical Observation,S,10049-5,1970-01-01,2099-12-31,NA
208556,3018053,S wave duration in lead III,Measurement,LOINC,Clinical Observation,S,10051-1,1970-01-01,2099-12-31,NA
209139,3024463,T wave amplitude in lead I,Measurement,LOINC,Clinical Observation,S,10145-1,1970-01-01,2099-12-31,NA
209141,3011589,T wave amplitude in lead III,Measurement,LOINC,Clinical Observation,S,10147-7,1970-01-01,2099-12-31,NA
209362,3017154,Hemoglobin A [Units/volume] in Blood by Electrophoresis,Measurement,LOINC,Lab Test,S,10346-5,1970-01-01,2099-12-31,NA
209391,3005686,Bite cells [Presence] in Blood by Light microscopy,Measurement,LOINC,Lab Test,S,10371-3,1970-01-01,2099-12-31,NA
209393,3028468,Fragments [Presence] in Blood by Light microscopy,Measurement,LOINC,Lab Test,S,10373-9,1970-01-01,2099-12-31,NA
209396,3010950,Oval macrocytes [Presence] in Blood by Light microscopy,Measurement,LOINC,Lab Test,S,10376-2,1970-01-01,2099-12-31,NA
209398,3011987,Polychromasia [Presence] in Blood by Light microscopy,Measurement,LOINC,Lab Test,S,10378-8,1970-01-01,2099-12-31,NA
209401,3025616,Target cells [Presence] in Blood by Light microscopy,Measurement,LOINC,Lab Test,S,10381-2,1970-01-01,2099-12-31,NA
209571,3011335,Digoxin [Mass/volume] in Serum or Plasma,Measurement,LOINC,Lab Test,S,10535-3,1970-01-01,2099-12-31,NA
210087,3000068,oxyCODONE [Presence] in Urine,Measurement,LOINC,Lab Test,S,10998-3,1970-01-01,2099-12-31,NA
210121,3015273,Consistency of Stool,Measurement,LOINC,Lab Test,S,11029-6,1970-01-01,2099-12-31,NA
210370,3026250,Tacrolimus [Mass/volume] in Blood,Measurement,LOINC,Lab Test,S,11253-2,1970-01-01,2099-12-31,NA
210477,3001062,History of Past illness,Observation,LOINC,Clinical Observation,S,11349-8,1997-07-31,2099-12-31,NA
210497,3012697,History of Tobacco use,Observation,LOINC,Clinical Observation,S,11367-0,1997-07-31,2099-12-31,NA
210695,3012501,Base excess in Blood by calculation,Measurement,LOINC,Lab Test,S,11555-0,1970-01-01,2099-12-31,NA
210696,3027315,Oxygen [Partial pressure] in Blood,Measurement,LOINC,Lab Test,S,11556-8,1997-08-12,2099-12-31,NA
210697,3013290,Carbon dioxide [Partial pressure] in Blood,Measurement,LOINC,Lab Test,S,11557-6,1997-08-12,2099-12-31,NA
210698,3010421,pH of Blood,Measurement,LOINC,Lab Test,S,11558-4,1970-01-01,2099-12-31,NA
211402,3016647,Creatinine [Mass/volume] in Peritoneal fluid,Measurement,LOINC,Lab Test,S,12191-3,1970-01-01,2099-12-31,NA
211445,3037871,Macrophages/100 leukocytes in Cerebral spinal fluid by Manual count,Measurement,LOINC,Lab Test,S,12229-1,1970-01-01,2099-12-31,NA
211446,3005087,Macrophages/100 leukocytes in Body fluid by Manual count,Measurement,LOINC,Lab Test,S,12230-9,1970-01-01,2099-12-31,NA
212634,3001950,Amikacin [Susceptibility] by Disk diffusion (KB),Measurement,LOINC,Lab Test,S,13-3,1970-01-01,2099-12-31,NA
212703,3016750,Collection duration of Urine,Measurement,LOINC,Lab Test,S,13362-9,1970-01-01,2099-12-31,NA
212823,3038086,cefTAZidime [Susceptibility] by Disk diffusion (KB),Measurement,LOINC,Lab Test,S,134-7,1970-01-01,2099-12-31,NA
213564,3001405,CD3+CD8+ (T8 suppressor) cells [#/volume] in Blood,Measurement,LOINC,Lab Test,S,14135-8,1970-01-01,2099-12-31,NA
213631,3023520,Reticulocytes [#/volume] in Blood,Measurement,LOINC,Lab Test,S,14196-0,1970-01-01,2099-12-31,NA
213635,3022747,cefTRIAXone [Susceptibility] by Disk diffusion (KB),Measurement,LOINC,Lab Test,S,142-0,1970-01-01,2099-12-31,NA
214474,3002827,Microalbumin/Creatinine [Mass Ratio] in 24 hour Urine,Measurement,LOINC,Lab Test,S,14958-3,1970-01-01,2099-12-31,NA
215771,3017143,Hepatitis C virus Ab [Presence] in Serum,Measurement,LOINC,Lab Test,S,16128-1,1998-06-04,2099-12-31,NA
216108,3013678,Triglyceride [Mass/volume] in Serum or Plasma --12 hours fasting,Measurement,LOINC,Lab Test,S,1644-4,1970-01-01,2099-12-31,NA
217170,3006923,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Measurement,LOINC,Lab Test,S,1742-6,1970-01-01,2099-12-31,NA
217234,3011544,Albumin [Mass/volume] in Pleural fluid,Measurement,LOINC,Lab Test,S,1748-3,1970-01-01,2099-12-31,NA
217243,3026692,Albumin [Mass/volume] in Peritoneal fluid,Measurement,LOINC,Lab Test,S,1749-1,1970-01-01,2099-12-31,NA
217270,3024561,Albumin [Mass/volume] in Serum or Plasma,Measurement,LOINC,Lab Test,S,1751-7,1970-01-01,2099-12-31,NA
217297,3012516,Albumin [Mass/volume] in Urine,Measurement,LOINC,Lab Test,S,1754-1,1970-01-01,2099-12-31,NA
217613,3009361,Monocytes/100 leukocytes in Synovial fluid,Measurement,LOINC,Lab Test,S,17835-0,1970-01-01,2099-12-31,NA
217629,3007124,Reticulocytes/100 erythrocytes in Blood by Automated count,Measurement,LOINC,Lab Test,S,17849-1,1970-01-01,2099-12-31,NA
217763,3008691,Amylase [Enzymatic activity/volume] in Peritoneal fluid,Measurement,LOINC,Lab Test,S,1797-0,1970-01-01,2099-12-31,NA
217782,3016771,Amylase [Enzymatic activity/volume] in Serum or Plasma,Measurement,LOINC,Lab Test,S,1798-8,1970-01-01,2099-12-31,NA
218044,3014029,Erythrocyte shape [Morphology] in Blood,Measurement,LOINC,Lab Test,S,18225-3,1970-01-01,2099-12-31,NA
218170,3009306,Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma,Measurement,LOINC,Lab Test,S,1834-1,1970-01-01,2099-12-31,NA
218411,3017487,ST amplitude.J point+60 ms Lead I,Measurement,LOINC,Clinical Observation,S,18559-5,1998-08-25,2099-12-31,NA
218413,3035359,ST amplitude.J point+60 ms Lead III,Measurement,LOINC,Clinical Observation,S,18561-1,1998-08-25,2099-12-31,NA
218424,3014402,ST amplitude.J point+80 ms Lead I,Measurement,LOINC,Clinical Observation,S,18571-0,1998-08-25,2099-12-31,NA
218427,3015536,ST amplitude.J point+80 ms Lead III,Measurement,LOINC,Clinical Observation,S,18573-6,1998-08-25,2099-12-31,NA
218478,3037278,Anion gap 4 in Serum or Plasma,Measurement,LOINC,Lab Test,S,1863-0,1970-01-01,2099-12-31,NA
218521,3020153,Ciprofloxacin [Susceptibility] by Disk diffusion (KB),Measurement,LOINC,Lab Test,S,186-7,1970-01-01,2099-12-31,NA
219026,3013721,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Measurement,LOINC,Lab Test,S,1920-8,1970-01-01,2099-12-31,NA
219044,3018465,Oxygen saturation in Mixed venous blood,Measurement,LOINC,Clinical Observation,S,19224-5,1970-01-01,2099-12-31,NA
219078,3003396,Base excess in Arterial blood by calculation,Measurement,LOINC,Lab Test,S,1925-7,1970-01-01,2099-12-31,NA
