id,concept_id,vocabulary_id,dataset_id,count_persons_rows,count_concepts_rows,count_secondary_concepts_rows
1,0,None,1,100,64637,0
2,262,Visit,1,32,46,0
3,8483,UCUM,1,100,18458,0
4,8505,UCUM,1,1,1,0
5,8507,Gender,1,57,57,0
6,8510,UCUM,1,95,1972,0
7,8523,UCUM,1,29,79,0
8,8532,Gender,1,43,43,0
9,8541,UCUM,1,100,22769,0
10,8546,CMS Place of Service,1,5,27,0
11,8550,UCUM,1,10,110,0
12,8554,UCUM,1,100,33430,0
13,8555,UCUM,1,100,4973,0
14,8564,UCUM,1,100,2700,0
15,8576,UCUM,1,44,117,0
16,8582,UCUM,1,60,71,0
17,8583,UCUM,1,100,4195,0
18,8587,UCUM,1,57,4116,0
19,8588,UCUM,1,96,6141,0
20,8698,UCUM,1,88,3173,0
21,8713,UCUM,1,100,6262,0
22,8717,CMS Place of Service,1,35,188,0
23,8723,UCUM,1,8,23,0
24,8749,UCUM,1,4,4,0
25,8751,UCUM,1,20,48,0
26,8752,UCUM,1,8,19,0
27,8753,UCUM,1,84,2246,0
28,8763,UCUM,1,3,3,0
29,8765,UCUM,1,47,116,0
30,8784,UCUM,1,25,149,0
31,8786,UCUM,1,11,115,0
32,8795,UCUM,1,11,123,0
33,8815,UCUM,1,100,2728,0
34,8817,UCUM,1,14,46,0
35,8837,UCUM,1,39,154,0
36,8840,UCUM,1,100,22902,0
37,8842,UCUM,1,70,687,0
38,8845,UCUM,1,45,131,0
39,8848,UCUM,1,100,8243,0
40,8859,UCUM,1,54,217,0
41,8862,UCUM,1,35,98,0
42,8863,CMS Place of Service,1,21,179,0
43,8870,CMS Place of Service,1,66,1138,0
44,8873,UCUM,1,1,5,0
45,8876,UCUM,1,100,60123,0
46,8883,CMS Place of Service,1,17,18,0
47,8889,UCUM,1,76,843,0
48,8909,UCUM,1,1,2,0
49,8923,UCUM,1,91,3774,0
50,8971,CMS Place of Service,1,1,13,0
51,8985,UCUM,1,6,9,0
52,9084,UCUM,1,3,7,0
53,9093,UCUM,1,41,119,0
54,9100,UCUM,1,1,1,0
55,9101,UCUM,1,1,1,0
56,9201,Visit,1,10,13,0
57,9289,UCUM,1,99,3370,0
58,9327,UCUM,1,60,71,0
59,9461,UCUM,1,4,5985,0
60,9529,UCUM,1,100,127,0
61,9550,UCUM,1,5,16,0
62,9557,UCUM,1,100,23145,0
63,9565,UCUM,1,6,11,0
64,9569,UCUM,1,4,30,0
65,9593,UCUM,1,4,6500,0
66,9651,UCUM,1,1,1,0
67,32037,Visit,1,19,55,0
68,32707,UCUM,1,3,4,0
69,32710,UCUM,1,7,110,0
70,32739,UCUM,1,1,59,0
71,32817,Type Concept,1,100,294666,0
72,32821,Type Concept,1,100,5052,0
73,32833,Type Concept,1,100,14956,0
74,32838,Type Concept,1,100,18229,0
75,32856,Type Concept,1,100,105800,0
76,528323,RxNorm,1,1,1,0
77,581383,CMS Place of Service,1,17,59,0
78,581385,CMS Place of Service,1,31,153,0
79,581476,Visit,1,74,592,0
80,586323,UCUM,1,41,1449,0
81,703547,RxNorm,1,29,40,0
82,704943,RxNorm,1,1,1,0
83,704944,RxNorm,1,1,2,0
84,705103,RxNorm,1,4,7,0
85,705108,RxNorm,1,4,9,0
86,705944,RxNorm,1,2,2,0
87,708298,RxNorm,1,19,19,0
88,710062,RxNorm,1,2,3,0
89,711584,RxNorm,1,16,16,0
90,711586,RxNorm,1,8,13,0
91,711588,RxNorm,1,2,3,0
92,711589,RxNorm,1,3,4,0
93,711620,RxNorm,1,14,35,0
94,712615,RxNorm,1,3,10,0
95,712616,RxNorm,1,1,8,0
96,712620,RxNorm,1,1,3,0
97,712643,RxNorm,1,2,3,0
98,712649,RxNorm,1,1,1,0
99,713192,RxNorm,1,2,2,0
100,714785,RxNorm,1,1,2,0
101,715233,RxNorm,1,2,2,0
102,715235,RxNorm,1,2,5,0
103,715259,RxNorm,1,2,4,0
104,715939,RxNorm,1,5,7,0
105,715940,RxNorm,1,4,15,0
106,715965,RxNorm,1,1,1,0
107,715997,RxNorm,1,1,1,0
