id,concept_id,vocabulary_id,dataset_id,count_persons_rows,count_concepts_rows,count_secondary_concepts_rows
1,8507,Gender,2,57,57,0
2,8532,Gender,2,43,43,0
3,8546,CMS Place of Service,2,5,27,0
4,8717,CMS Place of Service,2,35,188,0
5,8863,CMS Place of Service,2,21,179,0
6,8870,CMS Place of Service,2,66,1138,0
7,8883,CMS Place of Service,2,17,18,0
8,8971,CMS Place of Service,2,1,13,0
9,23325,SNOMED,2,1,2,0
10,24134,SNOMED,2,1,2,0
11,24230,SNOMED,2,1,2,0
12,24609,SNOMED,2,1,4,0
13,24966,SNOMED,2,1,2,0
14,26459,SNOMED,2,1,2,0
15,27674,SNOMED,2,4,8,0
16,28385,SNOMED,2,1,2,0
17,29735,SNOMED,2,4,8,0
18,30133,SNOMED,2,1,2,0
19,30361,SNOMED,2,1,2,0
20,30753,SNOMED,2,2,4,0
21,31317,SNOMED,2,8,17,0
22,31967,SNOMED,2,1,2,0
23,72459,SNOMED,2,1,2,0
24,72465,SNOMED,2,1,2,0
25,72990,SNOMED,2,2,4,0
26,73090,SNOMED,2,1,2,0
27,73553,SNOMED,2,3,6,0
28,73614,SNOMED,2,1,2,0
29,73840,SNOMED,2,1,5,0
30,73923,SNOMED,2,1,3,0
31,74114,SNOMED,2,1,6,0
32,74464,SNOMED,2,1,2,0
33,74582,SNOMED,2,1,2,0
34,74719,SNOMED,2,1,12,0
35,74816,SNOMED,2,1,2,0
36,75004,SNOMED,2,2,4,0
37,75053,SNOMED,2,1,2,0
38,75576,SNOMED,2,3,6,0
39,75860,SNOMED,2,10,20,0
40,75897,SNOMED,2,1,2,0
41,75909,SNOMED,2,1,4,0
42,75941,SNOMED,2,1,2,0
43,77074,SNOMED,2,1,2,0
44,77644,SNOMED,2,1,2,0
45,77670,SNOMED,2,4,12,0
46,77734,SNOMED,2,2,5,0
47,78097,SNOMED,2,2,4,0
48,78219,SNOMED,2,1,2,0
49,78227,SNOMED,2,1,4,0
50,78232,SNOMED,2,4,12,0
51,78273,SNOMED,2,2,4,0
52,78472,SNOMED,2,1,2,0
53,78505,SNOMED,2,1,2,0
54,78786,SNOMED,2,1,2,0
55,79864,SNOMED,2,5,10,0
56,80045,SNOMED,2,1,5,0
57,80180,SNOMED,2,3,6,0
58,80502,SNOMED,2,3,8,0
59,80767,SNOMED,2,1,2,0
60,80813,SNOMED,2,2,4,0
61,80816,SNOMED,2,1,2,0
62,80852,SNOMED,2,2,4,0
63,80951,SNOMED,2,3,8,0
64,81175,SNOMED,2,1,3,0
65,81250,SNOMED,2,1,2,0
66,81611,SNOMED,2,5,10,0
67,81723,SNOMED,2,1,2,0
68,81878,SNOMED,2,1,2,0
69,81893,SNOMED,2,1,2,0
70,81902,SNOMED,2,22,69,0
71,132397,SNOMED,2,1,2,0
72,132736,SNOMED,2,4,8,0
73,132781,SNOMED,2,1,2,0
74,132797,SNOMED,2,12,36,0
75,133280,SNOMED,2,1,2,0
76,133424,SNOMED,2,1,4,0
77,133438,SNOMED,2,1,2,0
78,133566,SNOMED,2,1,2,0
79,133853,SNOMED,2,1,4,0
80,134057,SNOMED,2,1,2,0
81,134116,SNOMED,2,2,4,0
82,134461,SNOMED,2,1,2,0
83,134681,SNOMED,2,1,2,0
84,134735,SNOMED,2,1,2,0
85,134736,SNOMED,2,6,18,0
86,134765,SNOMED,2,4,10,0
87,134898,SNOMED,2,2,4,0
88,135204,SNOMED,2,1,2,0
89,135333,SNOMED,2,1,2,0
90,135340,SNOMED,2,1,2,0
91,135350,SNOMED,2,1,2,0
92,135417,SNOMED,2,1,2,0
93,135489,SNOMED,2,1,2,0
94,135618,SNOMED,2,1,2,0
95,135762,SNOMED,2,1,2,0
96,135778,SNOMED,2,1,2,0
97,136368,SNOMED,2,1,6,0
98,136496,SNOMED,2,1,2,0
99,136580,SNOMED,2,2,4,0
100,136788,SNOMED,2,2,4,0
101,136834,SNOMED,2,2,4,0
102,137351,SNOMED,2,1,2,0
103,137945,SNOMED,2,1,2,0
104,137967,SNOMED,2,1,2,0
105,137977,SNOMED,2,2,4,0
106,138239,SNOMED,2,1,2,0
107,138384,SNOMED,2,10,27,0
108,138519,SNOMED,2,1,2,0
109,138525,SNOMED,2,1,2,0
110,138708,SNOMED,2,1,4,0
111,138825,SNOMED,2,1,2,0
112,138994,SNOMED,2,1,7,0
113,140168,SNOMED,2,2,4,0
114,140214,SNOMED,2,2,4,0
115,140352,SNOMED,2,1,10,0
116,140666,SNOMED,2,1,4,0
117,140673,SNOMED,2,10,78,0
118,141253,SNOMED,2,1,2,0
119,141825,SNOMED,2,1,2,0
120,141941,SNOMED,2,1,2,0
121,192279,SNOMED,2,1,4,0
122,192357,SNOMED,2,5,12,0
123,192360,SNOMED,2,2,8,0
124,192450,SNOMED,2,14,31,0
125,192671,SNOMED,2,4,8,0
126,192673,SNOMED,2,3,6,0
127,192680,SNOMED,2,5,22,0
128,192953,SNOMED,2,1,4,0
129,192963,SNOMED,2,1,2,0
130,193138,SNOMED,2,1,2,0
131,193144,SNOMED,2,1,3,0
132,193165,SNOMED,2,1,2,0
133,193518,SNOMED,2,2,13,0
134,193666,SNOMED,2,1,2,0
135,193688,SNOMED,2,7,16,0
136,193782,SNOMED,2,4,26,0
137,194133,SNOMED,2,2,4,0
138,194152,SNOMED,2,1,2,0
139,194175,SNOMED,2,1,2,0
140,194406,SNOMED,2,2,4,0
141,194516,SNOMED,2,1,2,0
142,194686,SNOMED,2,1,2,0
143,194690,SNOMED,2,1,2,0
144,194692,SNOMED,2,2,8,0
145,194696,SNOMED,2,1,2,0
146,194804,SNOMED,2,1,2,0
147,194990,SNOMED,2,1,2,0
148,195306,SNOMED,2,3,6,0
149,195392,SNOMED,2,1,2,0
150,195562,SNOMED,2,4,8,0
151,195581,SNOMED,2,4,9,0
152,195590,SNOMED,2,2,4,0
153,195596,SNOMED,2,2,6,0
154,195599,SNOMED,2,1,2,0
155,195771,SNOMED,2,2,7,0
156,195834,SNOMED,2,1,8,0
157,195851,SNOMED,2,1,2,0
158,195856,SNOMED,2,1,2,0
159,195977,SNOMED,2,1,2,0
160,196053,SNOMED,2,1,2,0
161,196149,SNOMED,2,1,2,0
162,196152,SNOMED,2,2,4,0
163,196160,SNOMED,2,2,4,0
164,196236,SNOMED,2,11,23,0
165,196259,SNOMED,2,1,2,0
166,196455,SNOMED,2,2,8,0
167,196456,SNOMED,2,1,2,0
168,196463,SNOMED,2,4,14,0
169,196523,SNOMED,2,8,18,0
170,196528,SNOMED,2,1,2,0
171,196925,SNOMED,2,1,2,0
172,197018,SNOMED,2,2,4,0
173,197320,SNOMED,2,32,122,0
174,197324,SNOMED,2,1,2,0
175,197378,SNOMED,2,1,2,0
176,197381,SNOMED,2,1,2,0
177,197444,SNOMED,2,3,6,0
178,197494,SNOMED,2,4,19,0
179,197610,SNOMED,2,1,2,0
180,197672,SNOMED,2,3,10,0
181,197675,SNOMED,2,1,2,0
182,197684,SNOMED,2,2,4,0
183,197806,SNOMED,2,1,2,0
184,197917,SNOMED,2,1,2,0
185,197925,SNOMED,2,3,6,0
186,197950,SNOMED,2,4,8,0
187,197988,SNOMED,2,1,2,0
188,198124,SNOMED,2,2,4,0
189,198177,SNOMED,2,1,2,0
190,198191,SNOMED,2,1,2,0
191,198571,SNOMED,2,6,14,0
192,198678,SNOMED,2,4,8,0
193,198683,SNOMED,2,1,2,0
194,198700,SNOMED,2,1,2,0
195,198802,SNOMED,2,1,2,0
196,198803,SNOMED,2,1,4,0
197,198964,SNOMED,2,3,8,0
198,199074,SNOMED,2,4,13,0
199,199075,SNOMED,2,1,8,0
200,199837,SNOMED,2,1,4,0
201,199863,SNOMED,2,1,2,0
202,200219,SNOMED,2,3,13,0
203,200447,SNOMED,2,2,4,0
204,200451,SNOMED,2,3,6,0
205,200527,SNOMED,2,2,7,0
206,200528,SNOMED,2,8,22,0
207,200618,SNOMED,2,3,6,0
208,200757,SNOMED,2,2,8,0
209,201061,SNOMED,2,4,8,0
210,201066,SNOMED,2,1,2,0
211,201072,SNOMED,2,2,4,0
212,201078,SNOMED,2,1,2,0
213,201254,SNOMED,2,1,2,0
214,201340,SNOMED,2,1,2,0
215,201343,SNOMED,2,2,4,0
216,201418,SNOMED,2,1,2,0
217,201441,SNOMED,2,1,2,0
218,201478,SNOMED,2,1,2,0
219,201606,SNOMED,2,1,2,0
220,201612,SNOMED,2,1,8,0
221,201613,SNOMED,2,1,2,0
222,201618,SNOMED,2,2,4,0
223,201620,SNOMED,2,1,4,0
224,201688,SNOMED,2,1,2,0
225,201826,SNOMED,2,11,84,0
226,201894,SNOMED,2,2,4,0
227,201901,SNOMED,2,1,5,0
228,201907,SNOMED,2,1,2,0
229,201916,SNOMED,2,1,2,0
230,201965,SNOMED,2,2,4,0
231,252946,SNOMED,2,1,2,0
232,253790,SNOMED,2,2,4,0
233,253797,SNOMED,2,1,3,0
234,253815,SNOMED,2,1,2,0
235,253896,SNOMED,2,2,4,0
236,254061,SNOMED,2,13,27,0
237,254068,SNOMED,2,1,2,0
238,254390,SNOMED,2,2,4,0
239,254443,SNOMED,2,1,12,0
240,254514,SNOMED,2,1,2,0
241,254591,SNOMED,2,1,3,0
242,255573,SNOMED,2,14,53,0
243,255848,SNOMED,2,15,30,0
244,255919,SNOMED,2,1,2,0
245,256449,SNOMED,2,2,4,0
246,256723,SNOMED,2,1,2,0
247,257004,SNOMED,2,1,2,0
248,257007,SNOMED,2,2,4,0
249,257012,SNOMED,2,2,4,0
250,257315,SNOMED,2,2,4,0
251,257503,SNOMED,2,2,5,0
252,257907,SNOMED,2,2,4,0
253,258441,SNOMED,2,1,2,0
254,259852,SNOMED,2,1,2,0
255,259992,SNOMED,2,7,15,0
256,260131,SNOMED,2,2,4,0
257,260139,SNOMED,2,2,4,0
258,261053,SNOMED,2,1,3,0
259,261325,SNOMED,2,1,2,0
260,261326,SNOMED,2,1,2,0
261,261600,SNOMED,2,5,10,0
262,261687,SNOMED,2,1,2,0
263,261880,SNOMED,2,12,25,0
264,261881,SNOMED,2,1,2,0
265,312327,SNOMED,2,1,3,0
266,312349,SNOMED,2,1,2,0
267,312358,SNOMED,2,1,2,0
268,312437,SNOMED,2,1,2,0
269,312927,SNOMED,2,1,2,0
270,312934,SNOMED,2,2,4,0
271,313062,SNOMED,2,2,4,0
272,313217,SNOMED,2,27,104,0
273,313459,SNOMED,2,1,2,0
274,313780,SNOMED,2,1,4,0
275,314054,SNOMED,2,4,12,0
276,314059,SNOMED,2,1,2,0
277,314131,SNOMED,2,2,4,0
278,314658,SNOMED,2,1,2,0
279,314664,SNOMED,2,1,2,0
280,314665,SNOMED,2,4,12,0
281,314666,SNOMED,2,7,31,0
282,315078,SNOMED,2,4,8,0
283,315273,SNOMED,2,1,2,0
284,315286,SNOMED,2,3,6,0
285,315296,SNOMED,2,2,4,0
286,315831,SNOMED,2,4,10,0
287,316135,SNOMED,2,4,70,0
288,316139,SNOMED,2,7,30,0
289,316429,SNOMED,2,1,2,0
290,316437,SNOMED,2,1,2,0
291,316535,SNOMED,2,2,4,0
292,316822,SNOMED,2,1,2,0
293,316993,SNOMED,2,1,2,0
294,316998,SNOMED,2,2,4,0
295,317002,SNOMED,2,16,35,0
296,317003,SNOMED,2,3,6,0
297,317009,SNOMED,2,9,26,0
298,317305,SNOMED,2,1,2,0
299,317376,SNOMED,2,1,2,0
300,317510,SNOMED,2,1,2,0
301,317576,SNOMED,2,19,54,0
302,317713,SNOMED,2,1,2,0
303,317814,SNOMED,2,1,2,0
304,318174,SNOMED,2,2,4,0
305,318450,SNOMED,2,2,4,0
306,318736,SNOMED,2,4,10,0
307,318772,SNOMED,2,6,13,0
308,318800,SNOMED,2,15,43,0
309,319041,SNOMED,2,3,8,0
310,319049,SNOMED,2,13,28,0
311,319835,SNOMED,2,20,92,0
312,319843,SNOMED,2,6,18,0
313,319844,SNOMED,2,3,6,0
314,320073,SNOMED,2,1,4,0
315,320116,SNOMED,2,2,4,0
316,320128,SNOMED,2,53,190,0
317,320416,SNOMED,2,1,2,0
318,320563,SNOMED,2,1,2,0
319,320744,SNOMED,2,1,2,0
320,320746,SNOMED,2,1,4,0
321,321052,SNOMED,2,4,16,0
322,321314,SNOMED,2,2,4,0
323,321318,SNOMED,2,2,4,0
324,321319,SNOMED,2,2,4,0
325,321414,SNOMED,2,1,2,0
326,321462,SNOMED,2,3,6,0
327,321596,SNOMED,2,2,4,0
328,321887,SNOMED,2,3,6,0
329,372309,SNOMED,2,1,2,0
330,372409,SNOMED,2,1,2,0
331,372448,SNOMED,2,3,6,0
332,372607,SNOMED,2,1,2,0
333,372887,SNOMED,2,14,30,0
334,372892,SNOMED,2,3,6,0
335,372897,SNOMED,2,1,2,0
336,372906,SNOMED,2,1,2,0
337,372912,SNOMED,2,1,2,0
338,373182,SNOMED,2,2,6,0
339,373449,SNOMED,2,1,2,0
