base,en,fr
patients,Patients,Patients
stays,Stays,Séjours hospitaliers
age,Age,Age
gender,Gender,Sexe
mortality,Mortality,Mortalité
length_of_stay,Length of stay,Durées de séjour
readmissions,Readmissions,Réadmissions
stay_age_occurrences,Number of stays,Nombre de séjours
variable,Variable,Variable
value,Value,Valeur
mean,Mean,Moyenne
median,Median,Médiane
iq1,IQ1,IQ1
iq3,IQ3,IQ3
min,Minimum,Minimum
max,Maximum,Maximum
missing_data,Missing data,Données manquantes
n_rows,Number of rows,Nombre de lignes
n_unique_patients,Number of unique patients,Nombre de patients uniques
n_stays,Number of stays,Nombre de séjours
show_params,Show parameters,Afficher les paramètres
plot_width,Plot width (%),Largeur de la figure (%)
plot_height,Plot height (%),Hauteur de la figure (%)
show_stats,Show stats,Afficher les statistiques
table_plot_side_by_side,Plot & table side by side,Figure & tableau côte-à-côte
start_datetime,Start of interval,Début de l'intervalle
end_datetime,End of interval,Fin de l'intervalle
show_plot,Show plot,Afficher
status,Status,Statut
alive,Alive,Vivant
dead,Dead,Décédé
percentage,Percentage,Pourcentage
