base,en,fr
visit_details_start_date,Visits start date,Date de début des séjours
visit_details_end_date,Visits end date,Date de fin des séjours
show,Show,Afficher
hospital_units,Units,Services
hospital_unit,Unit,Service
demography,Demography,Démographie
treatments,Treatments,Traitements
diagnoses,Diagnoses,Diagnostics
age,Age,Age
stay_age_occurrences,Number of stays,Nombre de séjours
mean,Mean,Moyenne
median,Median,Médiane
min,Minimum,Minimum
max,Maximum,Maximum,
missing_data,Missing data,Données manquantes
gender,Gender,Sexe
mortality,Mortality,Mortalité
alive,Alive,Vivant
dead,Dead,Décédé
percentage,Percentage,Pourcentage
status,Status,Statut
