base,en,fr
add,Add,Ajouter
automatically_update_figure,Automatically update figure,Mettre à jour automatiquement la figure
concepts,Concepts,Concepts
configuration,Configuration,Configuration
configuration_1,Configuration 1,Configuration 1
configuration_name,Configuration name,Nom de la configuration
create_user_configuration,Create new user configuration,Créer une nouvelle configuration
data_to_display,Data to display,Données à afficher
delete,Delete,Supprimer
delete_user_configuration_text,Confirm deletion of the user configuration?,Confirmer la suppression de la configuration utilisateur ?
delete_user_configuration_title,Delete user configuration,Supprimer la configuration utilisateur
display_figure,Display figure,Afficher la figure
dont_delete,Cancel,Annuler
figure_and_settings_side_by_side,Figure and settings/editor side by side,Figure et paramètres/éditeur côte à côte
modif_saved,Updates saved,Modifications enregistrées
name_already_used,This name is already used,Ce nom est déjà utilisé
new_user_configuration_added,New user configuration added,Nouvelle configuration utilisateur ajoutée
no_data_to_display,No data to display,Pas de données à afficher
no_user_configuration_selected,No user configuration selected,Aucune configuration utilisateur sélectionnée
patient_data,Patient data,Données du patient
provide_valid_name,Provide valid name,Nom valide requis
save_figure_settings_and_code,Save,Sauvegarder
save_general_settings,Save general settings,Sauvegarder les paramètres généraux
show_code_editor,Edit figure code,Editer le code de la figure
show_figure,Figure,Figure
show_figure_settings,Set up the figure,Paramétrer la figure
stay_data,Stay data,Données du séjour
synchronize_timelines,Synchronize timelines,Synchroniser les timelines
user_configuration_delete,User configuration deleted,Configuration utilisateur supprimée
