base,en,fr
add,Add,Ajouter
aggregated_function,Aggregated function,Fonction d'agrégation
auto_update,Automatically update output,Mettre à jour automatiquement les résultats
by_timestamp,By timestamp,Par horodatage
column_organization,Column organization,Organisation des colonnes
regular_intervals,Regular intervals,Intervalles réguliers
concept,Concept,Concept
concept_classes,Concept classes,Classes de concepts
concepts,Concepts,Concepts
concepts_to_display,Concepts to display,Concepts à afficher
configuration,Configuration,Configuration
configuration_1,Configuration 1,Configuration 1
configuration_name,Configuration name,Nom de la configuration
create_user_configuration,Create new user configuration,Créer une nouvelle configuration
data_to_display,Data to display,Données à afficher
delete,Delete,Supprimer
delete_user_configuration_text,Confirm deletion of the user configuration?,Confirmer la suppression de la configuration utilisateur ?
delete_user_configuration_title,Delete user configuration,Supprimer la configuration utilisateur
display_and_save,Display & Save,Afficher et sauvegarder
display_output,Display output,Afficher le résultat
dont_delete,Cancel,Annuler
error_executing_code,Error executing code,Erreur lors de l'exécution du code
max,Max,Maximum
mean,Mean,Moyenne
median,Median,Médiane
min,Min,Minimum
modif_saved,Updates saved,Modifications enregistrées
name_already_used,This name is already used,Ce nom est déjà utilisé
new_user_configuration_added,New user configuration added,Nouvelle configuration utilisateur ajoutée
no_data_to_display,No data to display,Pas de données à afficher
no_output_generated,No output generated. Please check your code and settings.,Aucun résultat généré. Veuillez vérifier votre code et vos réglages.
no_user_configuration_selected,No user configuration selected,Aucune configuration utilisateur sélectionnée
num_cols,Number of columns,Nombre de colonnes
omop_table,OMOP table,Table OMOP
output_and_settings_side_by_side,Output and settings/editor side by side,Résultats et réglages/éditeur côte à côte
patient_data,Patient data,Données du patient
provide_valid_name,Provide valid name,Nom valide requis
rename,Rename,Renommer
rename_user_configuration,Rename user configuration,Renommer la configuration
save_output_settings_and_code,Save,Sauvegarder
select_patient,No patient selected. Please select a patient to view data.,Aucun patient sélectionné. Veuillez sélectionner un patient pour voir les données.
select_all_concepts,Select all concepts,Sélectionner tous les concepts
select_stay,No visit detail selected. Please select a visit detail to view data.,Aucun séjour sélectionné. Veuillez sélectionner un séjour pour voir les données.
selected_concept_classes,Selected concept classes,Classes de concepts sélectionnées
selected_concepts,Selected concepts,Concepts sélectionnés
show_code_editor,Code editor,Editeur de code
show_output,Output,Résultats
show_output_settings,Output settings,Modifier les réglages
stay_data,Stay data,Données du séjour
synchronize_timelines,Synchronize timelines,Synchroniser les timelines
unselect_all_concepts,Unselect all concepts,Désélectionner tous les concepts
to,to,au
user_configuration_delete,User configuration deleted,Configuration utilisateur supprimée
user_configuration_renamed,User configuration renamed,Configuration renommée
