base,en,fr
add,Add,Ajouter
configuration,Configuration,Configuration
configuration_1,Configuration 1,Configuration 1
configuration_name,Configuration name,Nom de la configuration
create_user_configuration,Create new user configuration,Créer une nouvelle configuration
data_analysis_results,Data analysis results,Résultats des analyses
data_table,Data table,Tableau de données
delete,Delete,Supprimer
delete_user_configuration_text,Confirm deletion of the user configuration?,Confirmer la suppression de la configuration utilisateur ?
delete_user_configuration_title,Delete user configuration,Supprimer la configuration utilisateur
display_and_save,Display + Save,Afficher + sauvegarder
error_executing_code,Error executing code,Erreur lors de l'exécution du code
display_output,Display output,Afficher le résultat
dont_delete,Cancel,Annuler
histogram,Histogram,Histogramme
modif_saved,Updates saved,Modifications enregistrées
name_already_used,This name is already used,Ce nom est déjà utilisé
new_user_configuration_added,New user configuration added,Nouvelle configuration utilisateur ajoutée
no_data_to_display,No data to display,Aucune donnée à afficher
no_output_generated,No output generated. Please check your code and settings.,Aucun résultat généré. Veuillez vérifier votre code et vos réglages.
no_user_configuration_selected,No user configuration selected,Aucune configuration utilisateur sélectionnée
output_and_settings_side_by_side,Output and settings/editor side by side,Résultats et réglages/éditeur côte à côte
output_type,Output type,Format de sortie
plot_title,Plot title,Titre de la figure
provide_valid_name,Provide valid name,Nom valide requis
rename,Rename,Renommer
rename_user_configuration,Rename user configuration,Renommer la configuration
save_output_settings_and_code,Save,Sauvegarder
select_patient,No patient selected. Please select a patient to view data.,Aucun patient sélectionné. Veuillez sélectionner un patient pour voir les données.
show_code_editor,Code editor,Editeur de code
show_output,Output,Résultats
show_output_settings,Output settings,Modifier les réglages
summary_statistics,Summary statistics,Résumé statistique
user_configuration_delete,User configuration deleted,Configuration utilisateur supprimée
user_configuration_renamed,User configuration renamed,Configuration renommée
variables,Variables,Variables
import_data,Import,Importer
visualization,Visualization,Visualisation
statistics,Statistics,Statistiques
report,Report,Rapport
csv_file,CSV file,Fichier CSV
select_csv_file,Select CSV file to import,Sélectionner le fichier CSV à importer
x_axis,X axis,Axe X
y_axis,Y axis,Axe Y
none,None,Aucun
variable_selection,Variable Selection,Sélection des variables
titles_and_legends,Titles and Legends,Titres et légendes
figure_configuration,Figure Configuration,Configuration de la figure
x_axis_legend,X axis legend,Légende axe X
y_axis_legend,Y axis legend,Légende axe Y
variable_analysis_plot_recommendations,Variable Analysis & Plot Recommendations,Analyse des variables et recommandations graphiques
y_axis_none_selected,Y axis: None selected,Axe Y : Aucun sélectionné
single_variable_analysis_description,Single variable analysis - suitable for histograms bar plots or summary statistics,Analyse univariée - adaptée pour histogrammes diagrammes en barres ou statistiques descriptives
plot_recommendations,Plot Recommendations,Recommandations graphiques
warning,Warning,Attention
sample_values,Sample values,Exemples de valeurs
min,Min,Min
max,Max,Max
mean,Mean,Moyenne
median,Median,Médiane
unique_values,Unique values,Valeurs uniques
missing_values,Missing values,Valeurs manquantes
with_numeric_variable_can_create,With a numeric variable you can create:,Avec une variable numérique vous pouvez créer :
histogram_description,Shows distribution of values,Affiche la distribution des valeurs
boxplot_description,Shows quartiles and outliers,Affiche les quartiles et valeurs aberrantes
barplot_numeric_description,Shows frequency (but histogram is better for continuous data),Affiche les fréquences (mais l'histogramme est préférable pour des données continues)
scatter_requires_both_variables,Scatter plot requires both X and Y variables,Le nuage de points nécessite des variables X et Y
with_categorical_variable_can_create,With a categorical variable you can create:,Avec une variable catégorielle vous pouvez créer :
barplot_categorical_description,Shows frequency of each category,Affiche la fréquence de chaque catégorie
boxplot_not_recommended_categorical,Not recommended for categorical data,Non recommandé pour des données catégorielles
plot_not_possible_with_selected_variables,The requested plot is not possible with the selected variables,Le graphique demandé n'est pas possible avec les variables sélectionnées
with_numeric_x_numeric_y_can_create,With numeric X and numeric Y variables you can create:,Avec des variables X et Y numériques vous pouvez créer :
scatter_description,Shows relationship between variables,Affiche la relation entre les variables
boxplot_two_numeric_description,Y by X (if X has few unique values),Y par X (si X a peu de valeurs uniques)
histogram_single_variable_warning,Histogram is designed for single variables. With two numeric variables consider a scatter plot,L'histogramme est conçu pour une seule variable. Avec deux variables numériques considérez un nuage de points
with_categorical_x_numeric_y_can_create,With categorical X and numeric Y variables you can create:,Avec une variable X catégorielle et une variable Y numérique vous pouvez créer :
boxplot_categorical_x_description,Shows Y distribution for each X category,Affiche la distribution de Y pour chaque catégorie de X
barplot_average_description,Shows average Y for each X category,Affiche la moyenne de Y pour chaque catégorie de X
with_two_categorical_variables,With two categorical variables:,Avec deux variables catégorielles :
barplot_crosstab_description,Can show cross-tabulation,Peut afficher le tableau croisé
plot_type,Plot type,Type de graphique
histogram_plot,Histogram,Histogramme
scatter_plot,Scatter plot,Nuage de points
boxplot,Box plot,Boîte à moustaches
barplot,Bar plot,Diagramme en barres
statistics_type,Statistics type,Type de statistiques
table_one,Table 1,Table 1
table_title,Table title,Titre du tableau
variables_to_include,Variables to include,Variables à inclure
select_all_variables,Select all variables,Sélectionner toutes les variables
unselect_all_variables,Unselect all variables,Désélectionner toutes les variables
variable_comparison,Variable comparison,Comparaison de variables
grouping_variable,Grouping variable,Variable de groupe
variable_1,Variable 1,Variable 1
variable_2,Variable 2,Variable 2
code_generation_coming_soon,Code generation for statistical tests will be available in a future version,La génération de code pour les tests statistiques sera disponible dans une prochaine version
possible_statistical_tests,Possible statistical tests,Tests statistiques possibles
numeric_type,Numeric,Numérique
categorical_type,Categorical,Catégorielle
mean_label,Mean,Moyenne
median_label,Median,Médiane
sd_label,Standard deviation,Écart-type
unique_values_label,Unique values,Valeurs uniques
example_label,Example,Ex
missing_values_warning,missing values,valeurs manquantes
browse,Browse,Parcourir
select_dataset,Select dataset,Sélectionner le jeu de données
