base,en,fr
show_figure,Figure,Figure
show_figure_settings,Set up the figure,Paramétrer la figure
show_code_editor,Edit figure code,Editer le code de la figure
show_general_settings,General settings,Paramètres généraux
figure_and_settings_side_by_side,Figure and settings/editor side by side,Figure et paramètres/éditeur côte à côte
display_figure,Display figure,Afficher la figure
save_figure_settings_and_code,Save,Sauvegarder
show_settings_file,Show settings file,Afficher le fichier de sauvegarde
create_settings_file,Create a settings file,Créer un fichier de sauvegarde
delete_settings_file_title,Delete a settings file,Supprimer un fichier de sauvegarde
delete_settings_file_text,Confirm deletion of the settings file?,Confirmer la suppression du fichier de sauvegarde ?
add,Add,Ajouter
file_name,File name,Nom du fichier
file,File,Fichier
provide_valid_name,Provide valid name,Nom valide requis
name_already_used,This name is already used,Ce nom est déjà utilisé
delete,Delete,Supprimer
dont_delete,Cancel,Annuler
no_settings_file_selected,No settings file selected,Pas de fichier de sauvegarde sélectionné
new_settings_file_added,New settings file added,Nouveau fichier de sauvegarde des paramètres ajouté
settings_file_deleted,Settings file deleted,Fichier de sauvegarde des paramètres supprimé
code_execution,Code execution,Exécution du code
run_code_on_data_update,Run code on data update,Exécuter le code lors de la mise à jour des données
run_code_at_settings_file_load,Run code when a settings file is loaded,Exécuter le code au chargement d'un fichier de sauvegarde
save_general_settings,Save general settings,Sauvegarder les paramètres généraux
error_displaying_figure,Error displaying figure,Erreur lors de l'affichage de la figure
select_patient,Select a patient,Sélectionnez un patient
select_stay,Select a stay,Sélectionnez un séjour
no_data_to_display,No data to display,Pas de données à afficher
data_to_display,Data to display,Données à afficher
concepts_to_display,Concepts to display,Concepts à afficher
all_concepts,All concepts,Tous les concepts
selected_concept_classes,Selected concept classes,Classes de concepts sélectionnées
selected_concepts,Selected concepts,Concepts sélectionnés
concepts,Concepts,Concepts
concept_classes,Concept classes,Classes de concepts
patient_data,Patient data,Données du patient
stay_data,Stay data,Données du séjour
drug,Drug,Médicament
drugs,Drugs,Médicaments
start,Start,Début
end,End,Fin
amount,Amount,Quantité
rate,Rate,Débit
synchronize_timelines,Synchronize timelines,Synchroniser les timelines
text,Text,Texte
