base,en,fr
show_figure,Figure,Figure
show_figure_settings,Set up the figure,Paramétrer la figure
show_code_editor,Edit figure code,Editer le code de la figure
show_general_settings,General settings,Paramètres généraux
figure_and_settings_side_by_side,Figure and settings/editor side by side,Figure et paramètres/éditeur côte à côte
display_figure,Display figure,Afficher la figure
save_figure_settings_and_code,Save,Sauvegarder
category,Category,Catégorie
title,Title,Titre
datetime,Datetime, Date & heure
select_a_note_to_display,Select a note to display,Sélectionnez une note à afficher
notes,Notes,Notes
words_sets,Words sets,Sets de mots
