base,en,fr
plot,Plot,Figure
code,Code,Code
scripts_management,Scripts management,Gérer les scripts
save,Save,Sauvegarder
run_plot_at_patient_changeover,Reload plot at patient changeover,Recharger la figure au changement de patient
run_code_at_patient_changeover,Reload code at patient changeover,Recharger le code au changement de patient
plot_parameters,Plot parameters,Paramètres de la figure
variable,Variable,Variable
variables,Variables,Variables
show,Show plot,Afficher la figure
generate_code,Generate code,Générer le code
script_added,Script added,Script ajouté
confirm_deletion_title,Delete scripts,Supprimer des scripts
confirm_deletion_subtext,Do you want to delete these scripts ?,Confirmer la suppression de ces scripts ?
script_deleted,Script(s) deleted,Script(s) supprimé(s)
none,None,Aucune
unauthorized_access_to_console,You are not authorized to access the console,Vous n'avez pas l'autorisation pour accéder à la console
plot_width,Plot width (%),Largeur de la figure (%)
plot_height,Plot height (%),Hauteur de la figure (%)
hide_params,Hide parameters,Masquer les paramètres
scripts_names_duplicates,There are duplicates in scripts names,Il existe des doublons dans les noms des scripts
