base,en,fr
notes,Notes,Notes
word_sets,Word sets,Sets de mots
word_set,Word set,Set de mots
show_all_notes,Show all notes,Afficher toutes les notes
code,Code,Code
scripts_management,Scripts management,Gérer les scripts
chronological_order,Chronological order,Ordre chronologique
save,Save,Sauvegarder
hide_params,Hide parameters,Masquer les paramètres
script_added,Script added,Script ajouté
confirm_deletion_title,Delete scripts,Supprimer des scripts
confirm_deletion_subtext,Do you want to delete these scripts ?,Confirmer la suppression de ces scripts ?
script_deleted,Script(s) deleted,Script(s) supprimé(s)
id,ID,ID
title,Title,Titre
datetime,Datetime,Date & heure
category,Category,Catégorie
notes_selection,Notes selection,Sélection des notes
occurrences,Occurrences,Occurrences
parameters,Parameters,Paramètres
display_format,Display format,Format d'affichage
raw,Raw,Brut
html,HTML,HTML
new_word_set_name,New word set,Nouveau set de mots
new_word_name,New word,Nouveau mot
word,Word,Mot
words,Words,Mots
word_set_added,New word set added,Nouveau set de mots ajouté
name_already_used,Name already used,Nom déjà utilisé
word_set_deletion_title,Word set deletion,Suppression de set de mot
word_set_deletion_text,Confirm deletion of this word set?,Confirmer la suppression de ce set de mots ?
word_set_deleted,Word set deleted,Set de mots supprimé
word_added,New word added to the word set,Nouveau mot ajouté au set de mots
word_deletion_title,Word deletion,Suppression de mot
word_deletion_text,Confirm deletion of this word?,Confirmer la suppression de ce mot ?
word_deleted,Word deleted,Mot supprimé
filter_on_word_set,Filter on word set,Filtrer sur le set de mots
none,None,Aucun
run_filter,Run filter,Appliquer le filtre
no_notes_to_display,No notes to display,Pas de notes à afficher
