base,en,fr
none,None,Aucune
unauthorized_access_to_console,You are not authorized to access the console,Vous n'avez pas l'autorisation pour accéder à la console
save,Save,Sauvegarder
parameters,Parameters,Paramètres
variables,Variables,Variables
execute,Execute,Exécuter
generate_code,Generate code,Générer le code
start_datetime,Start of interval,Début de l'intervalle
end_datetime,End of interval,Fin de l'intervalle
intervals,Intervals,Intervalles
aggregate_function,Aggregate function,Fonction d'agrégat
mean,Mean,Moyenne
min,Min,Minimum
max,Max,Maximum
concept,Concept,Concept
to,to,au
