base,en,fr
add,Add,Ajouter
administration,Administration,Administration
automatically_update_output,Automatically update output,Mettre à jour automatiquement les résultats
chart_type,Chart type,Type de graphique
concept_classes,Concept classes,Classes de concepts
concepts,Concepts,Concepts
concepts_to_display,Concepts to display,Concepts à afficher
configuration,Configuration,Configuration
configuration_1,Configuration 1,Configuration 1
configuration_name,Configuration name,Nom de la configuration
create_user_configuration,Create new user configuration,Créer une nouvelle configuration
daily_dose,Daily dose,Dose/jour
data_to_display,Data to display,Données à afficher
datetime,Date & time,Date et heure
delete,Delete,Supprimer
delete_user_configuration_text,Confirm deletion of the user configuration?,Confirmer la suppression de la configuration utilisateur ?
delete_user_configuration_title,Delete user configuration,Supprimer la configuration utilisateur
display_and_save,Display & Save,Afficher et sauvegarder
display_output,Display output,Afficher le résultat
dont_delete,Cancel,Annuler
dosage,Dosage,Dosage
dose,Dose,Dose
duration,Duration,Durée
end,End,Fin
error_executing_code,Error executing code,Erreur lors de l'exécution du code
output_and_settings_side_by_side,Output and settings/editor side by side,Résultats et réglages/éditeur côte à côte
hours,hours,heures
measurement,Measurement,Mesure
modif_saved,Updates saved,Modifications enregistrées
name_already_used,This name is already used,Ce nom est déjà utilisé
new_user_configuration_added,New user configuration added,Nouvelle configuration utilisateur ajoutée
no_data_to_display,No data to display,Pas de données à afficher
no_patient_selected,No patient selected. Please select a patient to view timeline.,Aucun patient sélectionné. Veuillez sélectionner un patient pour voir la timeline.
no_visit_selected,No visit selected. Please select a visit to view timeline.,Aucun séjour sélectionné. Veuillez sélectionner un séjour pour voir la timeline.
no_data_for_patient,No data available for this patient with the selected concepts.,Aucune donnée disponible pour ce patient avec les concepts sélectionnés.
no_user_configuration_selected,No user configuration selected,Aucune configuration utilisateur sélectionnée
observation,Observation,Observation
omop_table,OMOP table,Table OMOP
patient_data,Patient data,Données du patient
provide_valid_name,Provide valid name,Nom valide requis
rate,Rate,Débit
rename,Rename,Renommer
rename_user_configuration,Rename user configuration,Renommer la configuration
result,Result,Résultat
save_output_settings_and_code,Save,Sauvegarder
select_all_concepts,Select all concepts,Sélectionner tous les concepts
selected_concept_classes,Selected concept classes,Classes de concepts sélectionnées
selected_concepts,Selected concepts,Concepts sélectionnés
show_code_editor,Code editor,Editeur de code
show_output,Output,Résultats
show_output_settings,Output settings,Modifier les réglages
source_condition,Condition,Condition
source_drug_exposure,Drug exposure,Traitement
source_measurement,Measurement,Mesure
source_observation,Observation,Observation
source_procedure,Procedure,Procédure
start,Start,Début
stay_data,Stay data,Données du séjour
synchronize_timelines,Synchronize timelines,Synchroniser les timelines
unselect_all_concepts,Unselect all concepts,Désélectionner tous les concepts
user_configuration_delete,User configuration deleted,Configuration utilisateur supprimée
user_configuration_renamed,User configuration renamed,Configuration renommée
value,Value,Valeur
