id,widget_id,person_id,link_id,category,name,value,value_num,creator_id,datetime,deleted
1,1,NA,NA,widget_position,NA,w=12;h=51;x=0;y=0;,NA,NA,2024-09-04 09:33:51,0
2,1,NA,NA,saved_settings,file_name,File 1,NA,NA,2024-09-04 09:33:55,0
3,2,NA,NA,saved_settings,file_name,Genre,NA,NA,2024-09-04 09:39:32,0
4,2,NA,3,general_settings,selected_file_id,NA,NA,NA,2024-09-04 09:39:44,0
5,2,NA,NA,general_settings,show_saved_file,NA,0,NA,2024-09-04 09:39:44,0
6,2,NA,NA,general_settings,figure_and_settings_side_by_side,NA,0,NA,2024-09-04 09:39:44,0
7,2,NA,NA,general_settings,run_code_at_patient_update,NA,1,NA,2024-09-04 09:39:44,0
8,2,NA,NA,general_settings,run_code_at_settings_file_load,NA,1,NA,2024-09-04 09:39:44,0
9,2,NA,NA,widget_position,NA,w=4;h=24;x=0;y=0;,NA,NA,2024-09-04 09:39:50,0
10,3,NA,NA,saved_settings,file_name,Age,NA,NA,2024-09-04 09:40:14,0
11,3,NA,NA,general_settings,show_saved_file,NA,0,NA,2024-09-04 09:40:17,0
12,3,NA,NA,general_settings,figure_and_settings_side_by_side,NA,0,NA,2024-09-04 09:40:17,0
13,3,NA,NA,general_settings,run_code_at_patient_update,NA,1,NA,2024-09-04 09:40:17,0
14,3,NA,NA,general_settings,run_code_at_settings_file_load,NA,1,NA,2024-09-04 09:40:17,0
15,3,NA,10,saved_settings,prog_language,r,NA,NA,2024-09-04 09:40:23,0
16,3,NA,10,saved_settings,output,figure,NA,NA,2024-09-04 09:40:23,0
