id,widget_id,person_id,link_id,category,name,value,value_num,creator_id,datetime,deleted
1,1,NA,NA,settings_files,file_name,Stays,NA,NA,2024-11-24 17:22:58,0
2,1,NA,NA,widget_position,NA,w=12;h=16;x=0;y=0;,NA,NA,2024-11-24 17:23:12,0
3,2,NA,NA,widget_position,NA,w=12;h=13;x=0;y=0;,NA,NA,2024-11-24 17:24:36,0
4,2,NA,NA,settings_files,file_name,Vitals dygraphs,NA,NA,2024-11-24 17:24:40,0
5,2,NA,4,figure_settings,data_source,person,NA,NA,2024-11-24 17:25:00,0
6,2,NA,4,figure_settings,concepts,"3027018, 3027598, 3004249, 3012888, 21492240, 21492239, 21492241",NA,NA,2024-11-24 17:25:00,0
7,2,NA,4,figure_settings,synchronize_timelines,NA,1,NA,2024-11-24 17:25:00,0
8,3,NA,NA,widget_position,NA,w=12;h=15;x=0;y=13;,NA,NA,2024-11-24 17:25:47,0
9,3,NA,NA,settings_files,file_name,Vitals datatable,NA,NA,2024-11-24 17:25:52,0
10,3,NA,9,figure_settings,data_source,person,NA,NA,2024-11-24 17:26:11,0
11,3,NA,9,figure_settings,concepts_choice,selected_concepts,NA,NA,2024-11-24 17:26:11,0
12,3,NA,9,figure_settings,concept_classes,,NA,NA,2024-11-24 17:26:11,0
13,3,NA,9,figure_settings,concepts,"3027018, 3027598, 3004249, 3012888, 21492239, 21492241, 21492240",NA,NA,2024-11-24 17:26:11,0
14,3,NA,9,figure_settings,num_cols,NA,8,NA,2024-11-24 17:26:11,0
15,3,NA,9,figure_settings,aggregate_fct,mean,NA,NA,2024-11-24 17:26:11,0
16,3,NA,9,figure_settings,synchronize_timelines,NA,1,NA,2024-11-24 17:26:11,0
17,4,NA,NA,widget_position,NA,w=12;h=12;x=0;y=28;,NA,NA,2024-11-24 17:29:39,0
18,4,NA,NA,settings_files,file_name,Drugs,NA,NA,2024-11-24 17:29:44,0
19,4,NA,18,figure_settings,data_source,person,NA,NA,2024-11-24 17:30:10,0
20,4,NA,18,figure_settings,concepts_choice,selected_concepts,NA,NA,2024-11-24 17:30:10,0
21,4,NA,18,figure_settings,concept_classes,,NA,NA,2024-11-24 17:30:10,0
22,4,NA,18,figure_settings,concepts,"1154343, 19123989, 1321341, 1343916, 40072394, 35603226, 35603227, 35603224, 956874, 19077546, 957136, 956877, 40167213, 1307046, 40167196, 40167218, 40166825, 40166830, 40166828, 40166824",NA,NA,2024-11-24 17:30:10,0
23,4,NA,18,figure_settings,synchronize_timelines,NA,1,NA,2024-11-24 17:30:10,0
24,5,NA,NA,settings_files,file_name,All drugs,NA,NA,2024-11-24 17:31:13,0
25,5,NA,24,figure_settings,data_source,person,NA,NA,2024-11-24 17:31:24,0
26,5,NA,24,figure_settings,concepts_choice,all_concepts,NA,NA,2024-11-24 17:31:24,0
27,5,NA,24,figure_settings,concept_classes,,NA,NA,2024-11-24 17:31:24,0
28,5,NA,24,figure_settings,concepts,,NA,NA,2024-11-24 17:31:24,0
29,5,NA,24,figure_settings,synchronize_timelines,NA,0,NA,2024-11-24 17:31:24,0
30,5,NA,NA,widget_position,NA,w=12;h=40;x=0;y=0;,NA,NA,2024-11-24 17:31:27,0
31,6,NA,NA,widget_position,NA,w=12;h=40;x=0;y=0;,NA,NA,2024-11-24 17:33:35,0
32,6,NA,NA,settings_files,file_name,All labs,NA,NA,2024-11-24 17:33:45,0
33,6,NA,32,figure_settings,data_source,person,NA,NA,2024-11-24 17:37:48,0
34,6,NA,32,figure_settings,concepts_choice,selected_concept_classes,NA,NA,2024-11-24 17:37:48,0
35,6,NA,32,figure_settings,concept_classes,Lab Test,NA,NA,2024-11-24 17:37:48,0
36,6,NA,32,figure_settings,concepts,,NA,NA,2024-11-24 17:37:48,0
37,6,NA,32,figure_settings,num_cols,NA,8,NA,2024-11-24 17:37:48,0
38,6,NA,32,figure_settings,aggregate_fct,mean,NA,NA,2024-11-24 17:37:48,0
39,6,NA,32,figure_settings,synchronize_timelines,NA,0,NA,2024-11-24 17:37:48,0
40,1,NA,1,general_settings,selected_file_id,NA,NA,NA,2024-11-24 21:59:14,0
41,1,NA,NA,general_settings,show_settings_file,NA,0,NA,2024-11-24 21:59:14,0
42,1,NA,NA,general_settings,figure_and_settings_side_by_side,NA,0,NA,2024-11-24 21:59:14,0
43,1,NA,NA,general_settings,run_code_on_data_update,NA,1,NA,2024-11-24 21:59:14,0
44,1,NA,NA,general_settings,run_code_at_settings_file_load,NA,1,NA,2024-11-24 21:59:14,0
45,4,NA,18,general_settings,selected_file_id,NA,NA,NA,2024-11-24 22:00:07,0
46,4,NA,NA,general_settings,show_settings_file,NA,0,NA,2024-11-24 22:00:07,0
47,4,NA,NA,general_settings,figure_and_settings_side_by_side,NA,0,NA,2024-11-24 22:00:07,0
48,4,NA,NA,general_settings,run_code_on_data_update,NA,1,NA,2024-11-24 22:00:07,0
49,4,NA,NA,general_settings,run_code_at_settings_file_load,NA,1,NA,2024-11-24 22:00:07,0
50,3,NA,9,general_settings,selected_file_id,NA,NA,NA,2024-11-24 22:00:07,0
51,3,NA,NA,general_settings,show_settings_file,NA,0,NA,2024-11-24 22:00:07,0
52,3,NA,NA,general_settings,figure_and_settings_side_by_side,NA,0,NA,2024-11-24 22:00:07,0
53,3,NA,NA,general_settings,run_code_on_data_update,NA,1,NA,2024-11-24 22:00:07,0
54,3,NA,NA,general_settings,run_code_at_settings_file_load,NA,1,NA,2024-11-24 22:00:07,0
55,2,NA,4,general_settings,selected_file_id,NA,NA,NA,2024-11-24 22:00:07,0
56,2,NA,NA,general_settings,show_settings_file,NA,0,NA,2024-11-24 22:00:07,0
57,2,NA,NA,general_settings,figure_and_settings_side_by_side,NA,0,NA,2024-11-24 22:00:07,0
58,2,NA,NA,general_settings,run_code_on_data_update,NA,1,NA,2024-11-24 22:00:07,0
59,2,NA,NA,general_settings,run_code_at_settings_file_load,NA,1,NA,2024-11-24 22:00:07,0
60,5,NA,24,general_settings,selected_file_id,NA,NA,NA,2024-11-24 22:00:27,0
61,5,NA,NA,general_settings,show_settings_file,NA,0,NA,2024-11-24 22:00:27,0
62,5,NA,NA,general_settings,figure_and_settings_side_by_side,NA,0,NA,2024-11-24 22:00:27,0
63,5,NA,NA,general_settings,run_code_on_data_update,NA,1,NA,2024-11-24 22:00:27,0
64,5,NA,NA,general_settings,run_code_at_settings_file_load,NA,1,NA,2024-11-24 22:00:27,0
65,6,NA,32,general_settings,selected_file_id,NA,NA,NA,2024-11-24 22:00:29,0
66,6,NA,NA,general_settings,show_settings_file,NA,0,NA,2024-11-24 22:00:29,0
67,6,NA,NA,general_settings,figure_and_settings_side_by_side,NA,0,NA,2024-11-24 22:00:29,0
68,6,NA,NA,general_settings,run_code_on_data_update,NA,1,NA,2024-11-24 22:00:29,0
69,6,NA,NA,general_settings,run_code_at_settings_file_load,NA,1,NA,2024-11-24 22:00:29,0
