id,widget_id,person_id,link_id,category,name,value,value_num,creator_id,datetime,deleted
1,1,NA,NA,widget_position,NA,w=12;h=14;x=0;y=0;,NA,NA,2025-02-09 07:46:07,0
2,1,NA,NA,settings_files,file_name,Haemodynamics 1,NA,NA,2025-02-09 07:46:17,0
3,1,NA,2,general_settings,selected_file_id,NA,NA,NA,2025-02-09 07:46:37,0
4,1,NA,NA,general_settings,show_settings_file,NA,0,NA,2025-02-09 07:46:37,0
5,1,NA,NA,general_settings,figure_and_settings_side_by_side,NA,0,NA,2025-02-09 07:46:37,0
6,1,NA,NA,general_settings,run_code_on_data_update,NA,1,NA,2025-02-09 07:46:37,0
7,1,NA,NA,general_settings,run_code_at_settings_file_load,NA,1,NA,2025-02-09 07:46:37,0
8,1,NA,2,figure_settings,data_source,person,NA,NA,2025-02-09 07:46:54,0
9,1,NA,2,figure_settings,concepts,"3027018, 3004249, 3027598, 3012888, 21492240, 21492241, 21492239",NA,NA,2025-02-09 07:46:54,0
10,1,NA,2,figure_settings,synchronize_timelines,NA,1,NA,2025-02-09 07:46:54,0
11,2,NA,NA,widget_position,NA,w=12;h=13;x=0;y=14;,NA,NA,2025-02-09 07:48:00,0
12,2,NA,NA,settings_files,file_name,Haemodynamics 1,NA,NA,2025-02-09 07:48:09,0
13,2,NA,NA,general_settings,selected_file_id,NA,122,NA,2025-02-09 07:48:09,0
14,2,NA,12,figure_settings,data_source,person,NA,NA,2025-02-09 07:48:29,0
15,2,NA,12,figure_settings,concepts_choice,selected_concepts,NA,NA,2025-02-09 07:48:29,0
16,2,NA,12,figure_settings,concept_classes,,NA,NA,2025-02-09 07:48:29,0
17,2,NA,12,figure_settings,concepts,"3027018, 3027598, 3004249, 21492240, 3012888, 21492239, 21492241",NA,NA,2025-02-09 07:48:29,0
18,2,NA,12,figure_settings,num_cols,NA,8,NA,2025-02-09 07:48:29,0
19,2,NA,12,figure_settings,aggregate_fct,mean,NA,NA,2025-02-09 07:48:29,0
20,2,NA,12,figure_settings,synchronize_timelines,NA,1,NA,2025-02-09 07:48:29,0
21,3,NA,NA,widget_position,NA,w=12;h=13;x=0;y=27;,NA,NA,2025-02-09 07:50:49,0
22,3,NA,NA,settings_files,file_name,Drugs 1,NA,NA,2025-02-09 07:50:56,0
23,3,NA,NA,general_settings,selected_file_id,NA,132,NA,2025-02-09 07:50:56,0
24,3,NA,22,figure_settings,data_source,person,NA,NA,2025-02-09 07:51:15,0
25,3,NA,22,figure_settings,concepts_choice,selected_concepts,NA,NA,2025-02-09 07:51:15,0
26,3,NA,22,figure_settings,concept_classes,,NA,NA,2025-02-09 07:51:15,0
27,3,NA,22,figure_settings,concepts,"35603226, 35603227, 956874, 35603224, 19077546, 957136, 1307046, 40167196",NA,NA,2025-02-09 07:51:15,0
28,3,NA,22,figure_settings,synchronize_timelines,NA,1,NA,2025-02-09 07:51:15,0
29,3,NA,NA,general_settings,show_settings_file,NA,0,NA,2025-02-09 07:51:17,0
30,3,NA,NA,general_settings,figure_and_settings_side_by_side,NA,0,NA,2025-02-09 07:51:17,0
